23:28:33.534 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1fejmk0 | Activity: Activity_1hbymbe | Destination: place4 | ExecutionId: efcac446-23e2-11f1-ae2c-4a84ddaf9f81 | Timer: (empty)
23:28:33.534 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1hbymbe' has entered wait state.
23:28:33.534 [scheduling-1] INFO  o.u.i.l.MessageThrowExecutionListener - [MessageThrowExecutionListener] Delivered 'Message_1omkcp1' from 'Event_0ey7qdt' to execution 'f0d57d95-23e2-11f1-ae2c-4a84ddaf9f81' (businessKey=a)
23:28:33.538 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_09t8y0k | execution=eab64284-23e2-11f1-ae2c-4a84ddaf9f81 | guard='' | action='leaveVehicle'
23:28:59.616 [http-nio-8082-exec-1] INFO  o.u.i.c.EnvironmentController - [Environment API] Participant 'Participant_1fejmk0' position set to: place4
23:29:01.507 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_1fejmk0 reached destination place4 | Completing task
23:29:01.508 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1hbymbe'. signalName=null, signalData=null
23:29:01.510 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='place4' on Activity_1hbymbe
23:29:01.511 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1fejmk0 (execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81)
23:29:01.511 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1fejmk0 (execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81)
23:29:01.515 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_056v3qa | execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81 | guard='(empty)' | action='checkVehicle' | participantId=Participant_1fejmk0 | timer=(empty)
23:29:01.515 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_056v3qa - Check bike | Guard: (empty) | Action: checkVehicle | Timer: (empty)
23:29:01.515 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_056v3qa' has entered wait state.
23:29:01.517 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Task completed successfully for participant Participant_1fejmk0
23:29:01.517 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:01.519 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Participant 'Participant_1fejmk0' has no mapped user for businessKey 'a' (action='checkVehicle')
23:29:03.504 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:05.504 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:07.510 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:09.510 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:11.507 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:13.507 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:15.508 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:17.505 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:17.586 [http-nio-8082-exec-8] INFO  o.u.i.c.EnvironmentController - [Environment API] Attribute 'state' for place 'place4' set to: unavailable
23:29:19.516 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_056v3qa -> auto-pass
23:29:19.518 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_056v3qa'. signalName=null, signalData=null
23:29:19.523 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_056v3qa | execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81
23:29:19.523 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_056v3qa ended
23:29:19.553 [scheduling-1] WARN  o.u.i.l.MessageThrowExecutionListener - [MessageThrowExecutionListener] No receiver and no message start for 'Message_2lkfndn' from 'Event_1o7022b' (businessKey=a)
23:29:19.555 [scheduling-1] INFO  o.u.i.l.MessageThrowExecutionListener - [MessageThrowExecutionListener] Delivered 'Message_0bdteu9' from 'Event_1wvk8pj' to execution 'f6cbf9e8-23e2-11f1-ae2c-4a84ddaf9f81' (businessKey=a)
23:29:19.562 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_056v3qa | execution=efcac446-23e2-11f1-ae2c-4a84ddaf9f81 | guard='' | action='checkVehicle'
