14:18:19.079 [main] INFO  org.camunda.bpm.engine.cfg - ENGINE-12003 Plugin 'CompositeProcessEnginePlugin[genericPropertiesConfiguration, camundaConfig, camundaProcessEngineConfiguration, camundaDatasourceConfiguration, camundaJobConfiguration, camundaHistoryConfiguration, camundaMetricsConfiguration, camundaAuthorizationConfiguration, camundaDeploymentConfiguration, failedJobConfiguration, , eventPublisherPlugin, ApplicationContextClassloaderSwitchPlugin]' activated on process engine 'default'
14:18:19.502 [main] INFO  org.camunda.bpm.spring.boot - STARTER-SB021 Auto-Deploying resources: [file [D:\Universita\CS\BPMNEnv-Camunda\target\classes\bpmn\diagram-23.bpmn]]
14:18:19.503 [main] INFO  o.c.b.s.b.s.e.EventPublisherPlugin - EVENTING-001: Initialized Camunda Spring Boot Eventing Engine Plugin.
14:18:19.503 [main] INFO  o.c.b.s.b.s.e.EventPublisherPlugin - EVENTING-003: Task events will be published as Spring Events.
14:18:19.503 [main] INFO  o.c.b.s.b.s.e.EventPublisherPlugin - EVENTING-005: Execution events will be published as Spring Events.
14:18:19.503 [main] INFO  o.c.b.s.b.s.e.EventPublisherPlugin - EVENTING-009: Listeners will not be invoked if a skipCustomListeners API parameter is set to true by user.
14:18:19.505 [main] INFO  o.c.b.s.b.s.e.EventPublisherPlugin - EVENTING-007: History events will be published as Spring events.
14:18:20.875 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'engine' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.engine.sql'
14:18:20.892 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'history' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.history.sql'
14:18:20.897 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'identity' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.identity.sql'
14:18:20.902 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'case.engine' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.case.engine.sql'
14:18:20.903 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'case.history' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.case.history.sql'
14:18:20.904 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'decision.engine' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.decision.engine.sql'
14:18:20.906 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03016 Performing database operation 'create' on component 'decision.history' with resource 'org/camunda/bpm/engine/db/create/activiti.h2.create.decision.history.sql'
14:18:20.928 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03067 No history level property found in database
14:18:20.930 [main] INFO  org.camunda.bpm.engine.persistence - ENGINE-03065 Creating historyLevel property in database for level: HistoryLevelFull(name=full, id=3)
14:18:20.942 [main] INFO  org.camunda.bpm.engine - ENGINE-00001 Process Engine default created.
14:18:21.250 [main] INFO  o.c.b.s.b.s.w.f.LazyInitRegistration - lazy initialized org.camunda.bpm.spring.boot.starter.webapp.filter.LazyProcessEnginesFilter@49671897
14:18:21.287 [main] INFO  o.c.b.s.b.s.w.f.LazyInitRegistration - lazy initialized org.camunda.bpm.spring.boot.starter.webapp.filter.LazySecurityFilter@30922f8d
14:18:21.344 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
14:18:21.357 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
14:18:21.363 [main] INFO  org.unicam.intermediate.Application - Started Application in 3.735 seconds (process running for 4.652)
14:18:21.365 [main] INFO  org.camunda.bpm.engine.jobexecutor - ENGINE-14014 Starting up the JobExecutor[org.camunda.bpm.engine.spring.components.jobexecutor.SpringJobExecutor].
14:18:21.366 [JobExecutor[org.camunda.bpm.engine.spring.components.jobexecutor.SpringJobExecutor]] INFO  org.camunda.bpm.engine.jobexecutor - ENGINE-14018 JobExecutor[org.camunda.bpm.engine.spring.components.jobexecutor.SpringJobExecutor] starting to acquire jobs
14:18:43.730 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:18:43.731 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:18:43.732 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
14:20:41.460 [http-nio-8080-exec-7] INFO  o.u.i.d.AnalyzeTemperatureDelegate - isCritical: false
14:22:02.470 [camundaTaskExecutor-1] INFO  o.u.i.d.AnalyzeTemperatureDelegate - isCritical: true
14:22:04.910 [camundaTaskExecutor-1] INFO  o.u.i.activity.WaitStateActivity - [MOVEMENT: Wait state] Activity ID Move_To_Destination is waiting for an event.
14:22:10.951 [camundaTaskExecutor-2] INFO  o.u.i.d.AnalyzeTemperatureDelegate - isCritical: false
14:23:29.306 [camundaTaskExecutor-3] INFO  o.u.i.d.AnalyzeTemperatureDelegate - isCritical: false
14:25:21.093 [http-nio-8080-exec-6] INFO  o.u.i.controller.MovementController - [GPS Received] Device is NOT inside the area. participantID: Partecipante
14:25:38.965 [http-nio-8080-exec-7] INFO  o.u.i.controller.MovementController - [GPS Received] Device is NOT inside the area. participantID: Partecipante
14:26:21.017 [http-nio-8080-exec-3] INFO  o.u.i.controller.MovementController - [GPS Received] Device is NOT inside the area. participantID: Partecipante
14:27:02.984 [http-nio-8080-exec-4] INFO  o.u.i.controller.MovementController - [GPS Received] Device is NOT inside the area. participantID: Partecipante
14:27:54.978 [http-nio-8080-exec-8] INFO  o.u.i.controller.MovementController - [GPS Received] Correct position, participantID: Partecipante  not found
14:29:06.630 [http-nio-8080-exec-1] INFO  o.u.i.controller.MovementController - [GPS Received] Valid coordinate. participantID: Participant_0n5pxvz
14:29:06.965 [http-nio-8080-exec-1] INFO  o.u.i.activity.WaitStateActivity - [MOVEMENT: Wait state] Activity ID Move_To_Destination event has been signalled.
14:29:07.889 [http-nio-8080-exec-1] INFO  o.u.i.controller.MovementController - [Participant Participant_0n5pxvz position] Update Destination: CS@Unicam
14:32:07.214 [http-nio-8080-exec-2] INFO  o.u.i.d.AnalyzeTemperatureDelegate - isCritical: true
14:32:36.276 [http-nio-8080-exec-2] INFO  o.u.i.activity.WaitStateActivity - [MOVEMENT: Wait state] Activity ID Move_To_Destination is waiting for an event.
14:33:06.457 [http-nio-8080-exec-8] INFO  o.u.i.controller.MovementController - [GPS Received] Valid coordinate. participantID: Participant_0n5pxvz
14:33:06.463 [http-nio-8080-exec-8] INFO  o.u.i.activity.WaitStateActivity - [MOVEMENT: Wait state] Activity ID Move_To_Destination event has been signalled.
