18:23:31.089 [scheduling-1] INFO  o.u.i.l.e.UnbindingExecutionListener - [UNBINDING] Task Activity_0foii35 started - Participant Patient (Participant_3def456) waiting for unbind with Ambulance (Participant_1mdszue) | Timer: (empty)
18:23:31.089 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Registering task: BK=a | Participant_3def456 -> Participant_1mdszue | exec=131d9621-22ef-11f1-ac2f-6ee3202e5531 | activity=Activity_0foii35 | timer=(empty)
18:23:31.089 [scheduling-1] INFO  o.u.i.s.e.u.UnbindingTaskRegistry - [UnbindingRegistry] Registered waiting unbinding task | BK: a | participant: Participant_3def456 -> target: Participant_1mdszue
18:23:31.090 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0foii35' has entered wait state.
18:23:31.091 [scheduling-1] INFO  o.u.i.s.e.BoundParticipantsDiscordanceMonitor - [DiscordanceMonitor] Marked pair as bound: BK=a | PI=0800bcd2-22ef-11f1-ac2f-6ee3202e5531 | Participant_1mdszue <-> Participant_3def456 | Key: 0800bcd2-22ef-11f1-ac2f-6ee3202e5531:Participant_1mdszue<->Participant_3def456
18:23:33.041 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
18:23:35.040 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
18:23:37.039 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
18:23:39.042 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
18:23:41.040 [scheduling-1] INFO  o.u.i.s.e.b.BindingTaskRegistry - [BindingRegistry] Waiting for counterpart: 1 participants in waiting | waiting=[Participant_2abc123->Participant_3def456]
