10:46:13.127 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:15.127 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:17.127 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:19.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:21.125 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:23.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:24.251 [http-nio-8082-exec-9] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:25.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:27.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:29.124 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:31.125 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:32.199 [http-nio-8082-exec-3] INFO  o.u.i.c.EnvironmentController - [Environment API] Attribute 'state' for place 'place13' set to: crop
10:46:33.126 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [ENVIRONMENTAL] Empty guard expression for activity Activity_1jf86rf -> auto-pass
10:46:33.130 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1jf86rf'. signalName=null, signalData=null
10:46:33.133 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Removed environmental task | activity=Activity_1jf86rf | execution=4920bf42-22af-11f1-a061-6ee3202e5531
10:46:33.133 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] Task Activity_1jf86rf ended
10:46:33.138 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Guard+Action satisfied -> task completed | activity=Activity_1jf86rf | execution=4920bf42-22af-11f1-a061-6ee3202e5531 | guard='' | action='prepareArea'
10:46:43.777 [http-nio-8082-exec-4] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_1yqx9h' on Activity_1ucrz0n
10:46:43.778 [http-nio-8082-exec-4] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_1ucrz0n - Move to crop area | Participant: Robot Planter (Participant_1fejmk0) | Destination: Lp_1yqx9h | Timer: 60.0
10:46:43.778 [http-nio-8082-exec-4] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_1fejmk0 | Activity: Activity_1ucrz0n | Destination: Lp_1yqx9h | ExecutionId: 5f3e5e54-22af-11f1-a061-6ee3202e5531 | Timer: 60.0
10:46:43.779 [http-nio-8082-exec-4] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_1ucrz0n' has entered wait state.
10:46:45.123 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Movement timer started | participant=Participant_1fejmk0 | activity=Activity_1ucrz0n | execution=5f3e5e54-22af-11f1-a061-6ee3202e5531 | destination=Lp_1yqx9h | timer=60.0s
10:47:45.134 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_1ucrz0n'. signalName=null, signalData=null
10:47:45.139 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='Lp_1yqx9h' on Activity_1ucrz0n
10:47:45.139 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_1fejmk0
10:47:45.139 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_1fejmk0
10:47:45.155 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] patched <space:destination>='Lp_1yqx9h' on Activity_0itk1iz
10:47:45.155 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] WAITING | Activity: Activity_0itk1iz - Move to crop area | Participant: Farmer (Participant_2abc123) | Destination: Lp_1yqx9h | Timer: (empty)
10:47:45.155 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Registered movement task | Participant: Participant_2abc123 | Activity: Activity_0itk1iz | Destination: Lp_1yqx9h | ExecutionId: 4920bf42-22af-11f1-a061-6ee3202e5531 | Timer: (empty)
10:47:45.155 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0itk1iz' has entered wait state.
10:47:45.155 [scheduling-1] INFO  o.u.i.l.MessageThrowExecutionListener - [MessageThrowExecutionListener] Delivered 'Message_2r15urd' from 'Event_198we43' to execution '58e6d54e-22af-11f1-a061-6ee3202e5531' (businessKey=a)
10:47:45.162 [scheduling-1] WARN  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Movement timer expired -> raised 'failedMovement' | participant=Participant_1fejmk0 | activity=Activity_1ucrz0n | execution=5f3e5e54-22af-11f1-a061-6ee3202e5531 | destination=Lp_1yqx9h | timer=60.0s
10:47:47.124 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] ✓ Participant Participant_2abc123 reached destination Lp_1yqx9h | Completing task
10:47:47.127 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Signal received for activity 'Activity_0itk1iz'. signalName=null, signalData=null
10:47:47.129 [scheduling-1] INFO  o.u.i.s.x.m.DestinationXmlService - [DestinationXmlService] restored <space:destination>='Lp_1yqx9h' on Activity_0itk1iz
10:47:47.129 [scheduling-1] INFO  o.u.i.s.e.m.MovementTaskRegistry - [MovementRegistry] Removed movement task for participant: Participant_2abc123
10:47:47.129 [scheduling-1] INFO  o.u.i.l.e.MovementExecutionListener - [MOVEMENT] Task completed for participant Participant_2abc123
10:47:47.131 [scheduling-1] INFO  o.u.i.s.e.EnvironmentalTaskRegistry - [EnvironmentalRegistry] Registered environmental task | activity=Activity_0wbdy0w | execution=4920bf42-22af-11f1-a061-6ee3202e5531 | guard='(empty)' | action='plantArea' | participantId=Participant_2abc123 | timer=(empty)
10:47:47.131 [scheduling-1] INFO  o.u.i.l.e.EnvironmentalExecutionListener - [ENVIRONMENTAL] WAITING | Activity: Activity_0wbdy0w - Plant area | Guard: (empty) | Action: plantArea | Timer: (empty)
10:47:47.131 [scheduling-1] INFO  o.u.i.activity.WaitStateActivity - [WaitStateActivity] Activity 'Activity_0wbdy0w' has entered wait state.
